,Unnamed: 0,name,url,food_details,rating,review_number,longitude,latitude,price,food_category,weighted_rating,rating_group,price_category,rest_details
631,631,Ayam penyet idaman,https://foodpanda.my/restaurant/h4lt/ayam-penyet-idaman,"['Chicken', 'Rice Dishes', 'Indonesian']",4.5,667,101.71312075,3.21371565,1,Indonesian,4.49,4.30-4.49,Cheap,"Chicken, Rice Dishes, Indonesian"
632,632,Soul brew setapak,https://foodpanda.my/restaurant/gsp8/soul-brew-setapak,"['Beverages', 'Desserts']",4.2,116,101.70397087,3.204595,2,Beverages,4.32,4.30-4.49,Moderate,"Beverages, Desserts"
633,633,Tcw kitchen and bar setapak,https://foodpanda.my/restaurant/c6ty/tcw-kitchen-and-bar-setapak,"['Beverages', 'Soups', 'Asian']",4.4,37,101.7165897,3.2052025,3,International,4.44,4.30-4.49,Expensive,"Beverages, Soups, Asian"
634,634,Aduhai patin tempoyak,https://foodpanda.my/restaurant/i4ff/aduhai-patin-tempoyak,"['Malaysian food', 'Meat', 'Fish']",4.0,16,101.705425,3.1953799,3,Malay,4.39,4.30-4.49,Expensive,"Malaysian food, Meat, Fish"
635,635,Salt and spice sri rampai,https://foodpanda.my/restaurant/h0ck/salt-and-spice-sri-rampai,"['Noodles', 'Halal', 'Healthy Food', 'Rice Dishes', 'Malaysian food', 'Asian']",4.0,65,101.729588,3.199324,3,International,4.27,4.00-4.29,Expensive,"Noodles, Halal, Healthy Food, Rice Dishes, Malaysian food, Asian"
636,636,Noor tomyam,https://foodpanda.my/restaurant/z3bo/noor-tomyam,"['Beverages', 'Chicken', 'Rice Dishes', 'Malaysian food']",4.7,165,101.7225888,3.1884042,2,Malay,4.61,4.50-4.69,Moderate,"Beverages, Chicken, Rice Dishes, Malaysian food"
637,637,Restoran rempah desa,https://foodpanda.my/restaurant/w5pu/restoran-rempah-desa,"['Beverages', 'Chicken', 'Rice Dishes', 'Malaysian food']",4.4,27,101.7379193,3.217606,2,Malay,4.44,4.30-4.49,Moderate,"Beverages, Chicken, Rice Dishes, Malaysian food"
638,638,The gorpis gombak,https://foodpanda.my/restaurant/r2rb/the-gorpis-gombak,['Desserts'],4.6,958,101.705333,3.208949,2,Desserts,4.59,4.50-4.69,Moderate,Desserts
639,639,Mr muruku setapak ,https://foodpanda.my/restaurant/r7kd/mr-muruku-setapak-,"['Beverages', 'Snacks', 'Malaysian food']",4.8,31,101.7232705,3.1998839,3,Indian,4.53,4.50-4.69,Expensive,"Beverages, Snacks, Malaysian food"
640,640,Bean jr setapak,https://foodpanda.my/restaurant/b1iv/bean-jr-setapak,"['Beverages', 'Snacks', 'Healthy Food', 'Desserts']",4.5,308,101.7143125,3.1983125,2,Desserts,4.49,4.30-4.49,Moderate,"Beverages, Snacks, Healthy Food, Desserts"
641,641,Mnk roti john gombak,https://foodpanda.my/restaurant/f5ki/mnk-roti-john-gombak,"['Chicken', 'Burgers']",4.6,74,101.7054917,3.2154964,3,American,4.51,4.50-4.69,Expensive,"Chicken, Burgers"
642,642,Tasbeeh boutique and cafe,https://foodpanda.my/restaurant/b8mo/tasbeeh-boutique-and-cafe,"['Chicken', 'Rice Dishes', 'Malaysian food', 'Sandwiches']",4.4,939,101.7425324,3.209482,2,Malay,4.4,4.30-4.49,Moderate,"Chicken, Rice Dishes, Malaysian food, Sandwiches"
643,643,Lets makan by cas,https://foodpanda.my/restaurant/r6sw/lets-makan-by-cas,"['Noodles', 'Rice Dishes', 'Malaysian food', 'Meat']",4.2,1006,101.743955,3.209624,1,Malay,4.22,4.00-4.29,Cheap,"Noodles, Rice Dishes, Malaysian food, Meat"
644,644,Papparich sri rampai,https://foodpanda.my/restaurant/o5qn/papparich-sri-rampai,"['Halal', 'Malaysian food']",4.5,1348,101.727663,3.199043,3,Malaysian,4.5,4.50-4.69,Expensive,"Halal, Malaysian food"
645,645,Saba restaurant dataran jelatek,https://foodpanda.my/restaurant/n7oq/saba-restaurant-dataran-jelatek,"['Rice Dishes', 'Middle Eastern']",4.6,4307,101.734655,3.175191,3,Middle Eastern,4.6,4.50-4.69,Expensive,"Rice Dishes, Middle Eastern"
646,646,Labulabi western 1,https://foodpanda.my/restaurant/mgnq/labulabi-western-1,"['Chicken', 'Malaysian food', 'Fish']",3.6,8,101.7053125,3.2089375,3,American,4.39,4.30-4.49,Expensive,"Chicken, Malaysian food, Fish"
647,647,Mammamshellcrab kitchen,https://foodpanda.my/restaurant/g3ru/mammamshellcrab-kitchen,['Malaysian food'],4.4,73,101.7193359,3.1935713,3,Malaysian,4.43,4.30-4.49,Expensive,Malaysian food
648,648,Mat murtabak gombak,https://foodpanda.my/restaurant/f7ee/mat-murtabak-gombak,"['Chicken', 'Malaysian food']",4.5,53,101.7131875,3.2133125,2,Mamak,4.47,4.30-4.49,Moderate,"Chicken, Malaysian food"
649,649,Walls ice cream kian hong,https://foodpanda.my/restaurant/op3s/walls-ice-cream-kian-hong,['Desserts'],4.8,139,101.7054132,3.2075082,3,Desserts,4.65,4.50-4.69,Expensive,Desserts
650,650,Beard papas melawati mall,https://foodpanda.my/restaurant/mlyj/beard-papas-melawati-mall,"['Japanese', 'Desserts']",0.0,0,101.748677,3.2113794,2,Desserts,0.0,No rating,Moderate,"Japanese, Desserts"
651,651,Aleppo arabic kitchen jalan gombak,https://foodpanda.my/restaurant/zvj6/aleppo-arabic-kitchen-jalan-gombak,"['Chicken', 'Rice Dishes', 'Middle Eastern']",0.0,0,101.704701,3.195852,3,Middle Eastern,0.0,No rating,Expensive,"Chicken, Rice Dishes, Middle Eastern"
652,652,Sup loqlaq utaqha,https://foodpanda.my/restaurant/wp60/sup-loqlaq-utaqha,"['Beverages', 'Rice Dishes', 'Malaysian food']",4.6,84,101.7134506,3.1989746,2,Malay,4.52,4.50-4.69,Moderate,"Beverages, Rice Dishes, Malaysian food"
653,653,Global kitchen,https://foodpanda.my/restaurant/k285/global-kitchen,"['Beverages', 'Malaysian food', 'Pasta', 'Pizza']",0.0,0,101.7439089,3.2085177,3,International,0.0,No rating,Expensive,"Beverages, Malaysian food, Pasta, Pizza"
654,654,Whisk sdn bhd,https://foodpanda.my/restaurant/lcmi/whisk-sdn-bhd,"['Cakes', 'Beverages', 'Pasta', 'Sandwiches', 'Pizza', 'Desserts']",0.0,0,101.7308011,3.2249848,2,International,0.0,No rating,Moderate,"Cakes, Beverages, Pasta, Sandwiches, Pizza, Desserts"
655,655,Bobola cafe,https://foodpanda.my/restaurant/c058/bobola-cafe,"['Beverages', 'Malaysian food', 'Desserts']",4.8,6,101.7307839,3.1881015,1,Desserts,4.47,4.30-4.49,Cheap,"Beverages, Malaysian food, Desserts"
656,656,Chili padi burgers,https://foodpanda.my/restaurant/dtji/chili-padi-burgers,"['Chicken', 'Meat', 'Burgers']",4.2,28,101.7181512,3.2124897,1,American,4.4,4.30-4.49,Cheap,"Chicken, Meat, Burgers"
657,657,Banana rolls setapak,https://foodpanda.my/restaurant/jtu6/banana-rolls-setapak,"['Cakes', 'Desserts']",4.5,8,101.7439089,3.2085177,2,Desserts,4.45,4.30-4.49,Moderate,"Cakes, Desserts"
658,658,Mei keng seafood restaurant,https://foodpanda.my/restaurant/oj4m/mei-keng-seafood-restaurant,"['Noodles', 'Beverages', 'Chicken', 'Rice Dishes', 'Meat', 'Soups', 'Fish', 'Chinese']",0.0,0,101.7205843,3.1970561,2,Chinese,0.0,No rating,Moderate,"Noodles, Beverages, Chicken, Rice Dishes, Meat, Soups, Fish, Chinese"
659,659,Rafeef food,https://foodpanda.my/restaurant/lg8k/rafeef-food,"['Beverages', 'Snacks', 'Western']",0.0,0,101.719569,3.20778,1,Middle Eastern,0.0,No rating,Cheap,"Beverages, Snacks, Western"
660,660,Villa tomyam setapak,https://foodpanda.my/restaurant/mvxm/villa-tomyam-setapak,"['Noodles', 'Beverages', 'Rice Dishes', 'Malaysian food', 'Soups']",4.4,15,101.7182812,3.1990983,1,Malay,4.44,4.30-4.49,Cheap,"Noodles, Beverages, Rice Dishes, Malaysian food, Soups"
661,661,Takoyaki by mrtako,https://foodpanda.my/restaurant/jkc1/takoyaki-by-mrtako,"['Beverages', 'Japanese', 'Meat']",4.2,7,101.706944,3.1955475,1,Japanese,4.43,4.30-4.49,Cheap,"Beverages, Japanese, Meat"
662,662,Tasty chopz 1,https://foodpanda.my/restaurant/n0ih/tasty-chopz-1,['Middle Eastern'],4.4,216,101.719078,3.20647,2,International,4.42,4.30-4.49,Moderate,Middle Eastern
663,663,Nasi ayam mancongkam,https://foodpanda.my/restaurant/o6in/nasi-ayam-mancongkam,"['Chicken', 'Rice Dishes', 'Malaysian food']",4.4,1273,101.705631,3.210002,3,Malay,4.4,4.30-4.49,Expensive,"Chicken, Rice Dishes, Malaysian food"
664,664,Qasar balqis restaurant gombak,https://foodpanda.my/restaurant/s0av/qasar-balqis-restaurant-gombak,['Middle Eastern'],4.5,478,101.711311,3.211638,2,Middle Eastern,4.49,4.30-4.49,Moderate,Middle Eastern
665,665,Tokwan nasi ayam golek,https://foodpanda.my/restaurant/t9gr/tokwan-nasi-ayam-golek,"['Chicken', 'Malaysian food']",4.5,681,101.7024964,3.2024529,3,Malay,4.49,4.30-4.49,Expensive,"Chicken, Malaysian food"
666,666,Balqis izham,https://foodpanda.my/restaurant/o359/balqis-izham,"['Cakes', 'Desserts']",4.8,308,101.705858,3.2106966,3,Desserts,4.71,4.70-4.78,Expensive,"Cakes, Desserts"
667,667,Kyakushi japanese restaurant,https://foodpanda.my/restaurant/x6c6/kyakushi-japanese-restaurant,"['Chicken', 'Japanese']",4.6,94,101.7163442,3.2053459,3,Japanese,4.52,4.50-4.69,Expensive,"Chicken, Japanese"
668,668,Pak syed nasi kuning gombak,https://foodpanda.my/restaurant/g63d/pak-syed-nasi-kuning-gombak,"['Chicken', 'Rice Dishes', 'Malaysian food']",4.6,522,101.7069953,3.2118986,3,Malay,4.58,4.50-4.69,Expensive,"Chicken, Rice Dishes, Malaysian food"
669,669,Mcdonalds gombak 104,https://foodpanda.my/restaurant/n9ko/mcdonalds-gombak-104,"['Beverages', 'Halal', 'Chicken', 'Desserts', 'Burgers', 'Fast Food']",4.4,7721,101.711525,3.212712,2,Fast Food,4.4,4.30-4.49,Moderate,"Beverages, Halal, Chicken, Desserts, Burgers, Fast Food"
670,670,Nasi lemak royale kedah gombak,https://foodpanda.my/restaurant/hpn1/nasi-lemak-royale-kedah-gombak,"['Beverages', 'Chicken', 'Rice Dishes', 'Asian']",4.7,702,101.7024978,3.2039184,2,Malay,4.67,4.50-4.69,Moderate,"Beverages, Chicken, Rice Dishes, Asian"
671,671,Fa ji zheng zong hai nan shao la dian restaurant fatt kee ayam panggang hainan,https://foodpanda.my/restaurant/vfhz/fa-ji-zheng-zong-hai-nan-shao-la-dian-restaurant-fatt-kee-ayam-panggang-hainan,"['Noodles', 'Thai', 'Beverages', 'Chicken', 'Rice Dishes']",4.5,87,101.70977857,3.20705021,2,Chinese,4.47,4.30-4.49,Moderate,"Noodles, Thai, Beverages, Chicken, Rice Dishes"
672,672,Subway klts,https://foodpanda.my/restaurant/yvqp/subway-klts,"['Halal', 'Healthy Food']",4.6,898,101.70347295,3.20328185,3,Fast Food,4.59,4.50-4.69,Expensive,"Halal, Healthy Food"
673,673,Mrs yau canteen setapak,https://foodpanda.my/restaurant/d7di/mrs-yau-canteen-setapak,"['Chicken', 'Rice Dishes', 'Chinese']",4.7,749,101.7177222,3.2026389,2,Chinese,4.67,4.50-4.69,Moderate,"Chicken, Rice Dishes, Chinese"
674,674,Laili al yemen restaurant,https://foodpanda.my/restaurant/ysqj/laili-al-yemen-restaurant,"['Noodles', 'Chicken', 'Rice Dishes', 'Middle Eastern', 'Desserts', 'Fish']",4.9,25,101.7102827,3.2088867,3,Middle Eastern,4.54,4.50-4.69,Expensive,"Noodles, Chicken, Rice Dishes, Middle Eastern, Desserts, Fish"
675,675,Haha kitchen ala thai and western gombak,https://foodpanda.my/restaurant/o3nw/haha-kitchen-ala-thai-and-western-gombak,"['Noodles', 'Malaysian food', 'Fast Food']",4.3,1275,101.711023,3.213079,2,Malay,4.31,4.30-4.49,Moderate,"Noodles, Malaysian food, Fast Food"
